Time(min),Theta(Degrees)
2232.0,27.131941272496253
2235.0,113.68594784916495
2235.0,118.95662358356007
2235.0,38.69931946302982
2235.0,169.09834801568297
2235.0,177.3568886841657
2235.0,65.37672440356722
2235.0,34.14021589161822
2235.0,16.681728991912337
2235.0,157.59132748433746
2235.0,38.98445270986565
2235.0,88.6940183789862
2238.0,156.98828293779033
2238.0,164.42707797385165
2238.0,168.78966580375845
2238.0,166.26741631395555
2238.0,103.06238434152756
2238.0,138.70133800054936
2238.0,83.62947698894855
2238.0,113.16411667173203
2238.0,115.95240856507385
2238.0,32.406717516416364
2241.0,57.70163112689968
2241.0,65.16535806990588
2241.0,90.18056543391172
2241.0,151.1729881450483
2241.0,152.5474841861479
2241.0,131.2989822568775
2241.0,136.43842063431876
2241.0,21.31827296592937
2241.0,55.78953474574066
2241.0,43.93798824576075
2244.0,25.783273278563986
2244.0,81.67175093808936
2244.0,160.01984564009925
2244.0,164.5661554794864
2244.0,132.18275031043177
2244.0,129.04765587359006
2244.0,2.545343032040568
2244.0,118.00954974987181
2244.0,157.26076169547662
2244.0,67.86146726505781
2247.0,30.041582203551737
2247.0,17.20663624190943
2247.0,63.546708168592005
2247.0,53.87559510254832
2247.0,8.688181994110051
2247.0,39.2808193789908
2247.0,10.17773824206194
2247.0,110.16042945995949
2247.0,92.45822719037062
2247.0,11.707519271218187
2250.0,20.776461931407987
2250.0,179.0489386467634
2250.0,165.90688256596735
2250.0,166.6490715511254
2250.0,95.78897638580325
2250.0,114.54388321132771
2250.0,84.5004910716701
2250.0,13.486477714178204
2250.0,94.23260522262086
2250.0,6.012919265294586
2253.0,29.02235876465231
2253.0,160.27068453604926
2253.0,77.72183304690138
2253.0,56.26559058386087
2253.0,143.88327313334406
2253.0,4.954902095606859
2253.0,58.31078592203976
2253.0,176.06602195687603
2253.0,11.943146361560613
2253.0,51.617597147973704
2256.0,127.82724463035872
2256.0,47.70292835734464
2256.0,154.19610674839433
2256.0,44.63980704826217
2256.0,174.30726830581315
2256.0,125.76598183979242
2256.0,136.96593662947444
2256.0,100.57024008048568
2256.0,117.0794705580038
2256.0,24.70803203175216
2259.0,109.51265838844652
2259.0,56.89300108535852
2259.0,61.02758998630725
2259.0,12.73566715190235
2259.0,151.97041589874635
2259.0,54.01459691159912
2259.0,94.59591397006217
2259.0,43.600034452572466
2259.0,152.25722856586773
2259.0,173.85510656006159
2262.0,38.03618420781567
2262.0,24.764612763612526
2262.0,166.5872454370413
2262.0,47.8886615495073
2262.0,79.24582938608249
2262.0,123.9935585048254
2262.0,15.528464701394826
2262.0,159.41560867821153
2262.0,139.07282610328522
2262.0,113.68031844260469
2262.0,53.45683782516484
2265.0,69.85987755310515
2265.0,19.276262992552784
2265.0,131.1559756991046
2265.0,53.12323056076792
2265.0,50.74858303679457
2265.0,88.50367580013962
2265.0,9.016612694049577
2265.0,39.84639218048673
2265.0,153.3929494759098
2265.0,56.89863805025049
2265.0,13.078301395240862
2268.0,107.8296520563204
2268.0,20.15219029918428
2268.0,82.85644436980157
2268.0,160.68966775256598
2268.0,42.96075344772004
2268.0,157.4844836484462
2268.0,90.58477232039431
2268.0,155.37458623751007
2268.0,138.95492766105428
2268.0,152.26561361172855
2268.0,53.523394066049185
2271.0,3.6081059488823026
2271.0,161.53387350339628
2271.0,145.28826839490864
2271.0,101.81100196924068
2271.0,178.3558792504295
2271.0,121.33679406338192
2271.0,60.716616541137164
2271.0,71.84483797239685
2271.0,23.524564515842666
2271.0,24.179304895710413
2271.0,120.26603896446956
2274.0,148.80832812339835
2274.0,79.49022176497662
2274.0,177.57265203023516
2274.0,46.99501243313041
2274.0,88.34368042204659
2274.0,8.24781153566081
2274.0,86.60877623674051
2274.0,147.4390501260597
2274.0,136.00992368692408
2274.0,41.94635407172403
2274.0,136.2956157208
2277.0,45.88519970555159
2277.0,169.07369009164017
2277.0,13.785711399377721
2277.0,24.937839082623743
2277.0,11.313761756678554
2277.0,109.34723785218618
2277.0,77.84445062173
2277.0,95.68739091780098
2277.0,146.1275793484708
2277.0,30.17953968593322
2277.0,19.21829313747124
2280.0,104.13283318199326
2280.0,79.18208177378116
2280.0,133.77582811453792
2280.0,125.08815663631904
2280.0,129.3430011588085
2280.0,158.12399657747795
2280.0,96.91027978157307
2280.0,171.4870380650847
2280.0,126.54704267841565
2280.0,86.06790891056711
2280.0,72.31914917415489
2283.0,18.105437902671014
2283.0,4.507660682290115
2283.0,16.115223502283776
2283.0,34.70378445997083
2283.0,114.15574430842074
2283.0,102.78469850665344
2283.0,120.46390636493075
2283.0,134.30425447392562
2283.0,98.89057553479715
2283.0,138.72307604471754
2283.0,157.74294428306496
2286.0,108.47510570684426
2286.0,69.33457481103353
2286.0,177.35706429423945
